@relation merge_avg_avg1-weka.filters.unsupervised.attribute.Remove-R1

@attribute R_FG {'Toronto Raptors','Brooklyn Nets','Charlotte Bobcats','Minnesota Timberwolves','Orlando Magic','Phoenix Suns','Los Angeles Lakers','Detroit Pistons','Atlanta Hawks','Milwaukee Bucks','Portland Trail Blazers','Boston Celtics','Sacramento Kings','Denver Nuggets','Chicago Bulls','Cleveland Cavaliers','New York Knicks','Oklahoma City Thunder','Miami Heat','Memphis Grizzlies','Indiana Pacers','Los Angeles Clippers','Washington Wizards','San Antonio Spurs','Golden State Warriors','Utah Jazz','Dallas Mavericks','New Orleans Hornets','Houston Rockets','Philadelphia 76ers'}
@attribute avg_R_FG numeric
@attribute avg_R_FGA numeric
@attribute avg_R_FGP numeric
@attribute avg_R_3P numeric
@attribute avg_R_3PA numeric
@attribute avg_R_3PP numeric
@attribute avg_R_FT numeric
@attribute avg_R_FTA numeric
@attribute avg_R_FTP numeric
@attribute avg_R_ORB numeric
@attribute avg_R_DRB numeric
@attribute avg_R_TRB numeric
@attribute avg_R_AST numeric
@attribute avg_R_STL numeric
@attribute avg_R_BLK numeric
@attribute avg_R_TOV numeric
@attribute avg_R_PF numeric
@attribute avg_R_PTS numeric
@attribute avg_R_HOME numeric
@attribute avg_R_WIN numeric
@attribute avg1_R_FG numeric
@attribute avg1_R_FGA numeric
@attribute avg1_R_FGP numeric
@attribute avg1_R_3P numeric
@attribute avg1_R_3PA numeric
@attribute avg1_R_3PP numeric
@attribute avg1_R_FT numeric
@attribute avg1_R_FTA numeric
@attribute avg1_R_FTP numeric
@attribute avg1_R_ORB numeric
@attribute avg1_R_DRB numeric
@attribute avg1_R_TRB numeric
@attribute avg1_R_AST numeric
@attribute avg1_R_STL numeric
@attribute avg1_R_BLK numeric
@attribute avg1_R_TOV numeric
@attribute avg1_R_PF numeric
@attribute avg1_R_PTS numeric
@attribute avg1_R_HOME numeric
@attribute avg1_R_WIN numeric
@attribute H_TEAM {'Sacramento Kings','Boston Celtics','Golden State Warriors','Washington Wizards','Minnesota Timberwolves','Los Angeles Clippers','Houston Rockets','Brooklyn Nets','Los Angeles Lakers','San Antonio Spurs','Orlando Magic','Miami Heat','Cleveland Cavaliers','New Orleans Hornets','Charlotte Bobcats','Indiana Pacers','Atlanta Hawks','Chicago Bulls','Philadelphia 76ers','Phoenix Suns','Milwaukee Bucks','Utah Jazz','Oklahoma City Thunder','Memphis Grizzlies','Toronto Raptors','New York Knicks','Portland Trail Blazers','Detroit Pistons','Denver Nuggets','Dallas Mavericks'}
@attribute avg_H_FG numeric
@attribute avg_H_FGA numeric
@attribute avg_H_FGP numeric
@attribute avg_H_3P numeric
@attribute avg_H_3PA numeric
@attribute avg_H_3PP numeric
@attribute avg_H_FT numeric
@attribute avg_H_FTA numeric
@attribute avg_H_FTP numeric
@attribute avg_H_ORB numeric
@attribute avg_H_DRB numeric
@attribute avg_H_TRB numeric
@attribute avg_H_AST numeric
@attribute avg_H_STL numeric
@attribute avg_H_BLK numeric
@attribute avg_H_TOV numeric
@attribute avg_H_PF numeric
@attribute avg_H_PTS numeric
@attribute avg_H_HOME numeric
@attribute avg_H_WIN numeric
@attribute avg1_H_FG numeric
@attribute avg1_H_FGA numeric
@attribute avg1_H_FGP numeric
@attribute avg1_H_3P numeric
@attribute avg1_H_3PA numeric
@attribute avg1_H_3PP numeric
@attribute avg1_H_FT numeric
@attribute avg1_H_FTA numeric
@attribute avg1_H_FTP numeric
@attribute avg1_H_ORB numeric
@attribute avg1_H_DRB numeric
@attribute avg1_H_TRB numeric
@attribute avg1_H_AST numeric
@attribute avg1_H_STL numeric
@attribute avg1_H_BLK numeric
@attribute avg1_H_TOV numeric
@attribute avg1_H_PF numeric
@attribute avg1_H_PTS numeric
@attribute avg1_H_HOME numeric
@attribute avg1_H_WIN numeric
@attribute RESULT {0,1}

@data
'Milwaukee Bucks',37.222222,85.666667,0.434501,6.055556,17.805556,0.340094,16.027778,21.361111,0.750325,12.583333,30.583333,43.166667,21.888889,8.638889,7.722222,13.972222,19.361111,96.527778,0.527778,0.527778,40,77,0.519481,8,19,0.421053,19,23,0.826087,8,24,32,29,5,6,12,25,107,0,1,'Los Angeles Lakers',37.27027,81.864865,0.455266,8.945946,25.189189,0.35515,19.918919,28.675676,0.694628,12.621622,32.702703,45.324324,21.891892,7.621622,5.675676,15.054054,19.135135,103.405405,0.540541,0.432432,40,69,0.57971,13,25,0.52,20,27,0.740741,7,34,41,32,11,5,22,13,113,1,1,1
'Detroit Pistons',36.327869,81.377049,0.446414,6.131148,16.885246,0.363107,16.098361,23.196721,0.693993,12.409836,30.754098,43.163934,20.983607,6.918033,5.42623,14.459016,19.754098,94.885246,0.540984,0.377049,39,78,0.5,7,19,0.368421,10,16,0.625,11,29,40,26,6,3,14,21,95,0,0,'San Antonio Spurs',39.533333,81.133333,0.487264,8.383333,22.05,0.380197,17.2,21.8,0.788991,7.916667,33.083333,41,25.15,8.75,5.2,14.233333,17.633333,104.65,0.433333,0.766667,51,84,0.607143,9,20,0.45,19,23,0.826087,9,34,43,41,12,6,19,15,130,1,1,1
'Atlanta Hawks',37.483333,80.916667,0.463234,9.033333,23.666667,0.38169,13.6,19.3,0.704663,9.283333,31.35,40.633333,24.483333,7.983333,4.966667,14.366667,18.15,97.6,0.483333,0.566667,43,80,0.5375,11,24,0.458333,10,17,0.588235,7,31,38,28,5,5,14,17,107,1,1,'Boston Celtics',37.016667,80.616667,0.459169,5.85,16.866667,0.346838,16.233333,20.783333,0.781075,8.433333,31.766667,40.2,23.166667,8.516667,4.316667,13.8,21.433333,96.116667,0.5,0.55,34,83,0.409639,7,17,0.411765,8,9,0.888889,9,38,47,18,9,8,13,19,83,0,1,1
'Charlotte Bobcats',34.346154,81.653846,0.420631,5.692308,16.384615,0.347418,19.403846,25.826923,0.751303,11.423077,29.576923,41,18.903846,7.25,6.288462,13.038462,19.519231,93.788462,0.5,0.230769,26,82,0.317073,5,16,0.3125,20,28,0.714286,16,29,45,14,5,8,16,20,77,0,0,'Orlando Magic',37.653846,83.461538,0.451152,6.576923,19.230769,0.342,12.115385,15.673077,0.773006,10.615385,32.173077,42.788462,23.25,5.980769,4.230769,14.211538,18.788462,94,0.519231,0.288462,34,82,0.414634,3,14,0.214286,5,9,0.555556,7,34,41,18,7,2,15,21,76,1,0,0
'Portland Trail Blazers',36.285714,82.857143,0.437931,8.2,23.885714,0.343301,16.371429,21.228571,0.771198,11.885714,29.514286,41.4,20.771429,7.8,4.857143,14.114286,19,97.142857,0.485714,0.571429,30,80,0.375,9,27,0.333333,23,30,0.766667,11,34,45,18,10,2,14,15,92,1,1,'Golden State Warriors',37.941176,83.117647,0.456476,7.852941,20.294118,0.386957,17.205882,21.735294,0.79161,11.382353,33.970588,45.352941,22.735294,7.147059,4.029412,15.117647,21.911765,100.941176,0.470588,0.647059,33,71,0.464789,7,17,0.411765,14,20,0.7,6,32,38,23,8,2,15,21,87,1,0,1
'Milwaukee Bucks',38.236842,87.592105,0.436533,7.052632,19.644737,0.359009,15.513158,20.934211,0.741043,13.039474,30.789474,43.828947,22.868421,8.289474,6.855263,13.592105,19.065789,99.039474,0.526316,0.486842,36,76,0.473684,6,19,0.315789,22,29,0.758621,9,31,40,27,11,12,15,22,100,1,1,'Miami Heat',38.513158,77.631579,0.496102,8.539474,21.526316,0.396699,17.381579,22.881579,0.759632,8.223684,30.065789,38.289474,22.921053,8.802632,5.25,13.052632,18.736842,102.947368,0.486842,0.789474,40,83,0.481928,14,25,0.56,12,14,0.857143,11,37,48,25,5,3,9,16,106,1,1,1
'Atlanta Hawks',37.115385,82.307692,0.450935,8.538462,23.5,0.363339,14.384615,20.423077,0.704331,10.461538,30.769231,41.230769,22.923077,9.115385,4.807692,14.115385,17.269231,97.153846,0.576923,0.653846,46,98,0.469388,11,33,0.333333,23,31,0.741935,8,39,47,35,11,6,10,18,126,1,1,'Cleveland Cavaliers',35.033333,84.533333,0.414432,7.766667,22.033333,0.352496,15.833333,21.866667,0.724085,13.3,28.7,42,19.233333,8.066667,3.2,14.566667,22.3,93.666667,0.4,0.233333,31,82,0.378049,10,27,0.37037,15,23,0.652174,12,26,38,20,9,3,10,16,87,0,1,0
'Brooklyn Nets',34.964912,79.491228,0.439859,7.701754,21.666667,0.355466,17.508772,23.789474,0.735988,12.578947,29.77193,42.350877,20.035088,7.105263,4.807018,13.754386,18.280702,95.140351,0.561404,0.578947,29,77,0.376623,9,21,0.428571,5,13,0.384615,17,27,44,18,7,4,14,14,72,1,0,'New Orleans Hornets',36.385965,80.315789,0.453036,6.789474,18.192982,0.373192,14.894737,19.368421,0.769022,11.298246,30.087719,41.385965,21.473684,6.385965,5.526316,13.684211,20.403509,94.45614,0.473684,0.350877,45,89,0.505618,6,16,0.375,14,15,0.933333,15,31,46,31,5,9,9,13,110,1,1,0
'Boston Celtics',37.153846,79.461538,0.46757,5.423077,15.538462,0.34901,17.461538,22.076923,0.790941,7.653846,30.846154,38.5,23.269231,8.692308,4.038462,14,20.807692,97.192308,0.538462,0.5,36,94,0.382979,5,24,0.208333,17,20,0.85,12,32,44,23,16,5,14,22,94,1,0,'Brooklyn Nets',35.269231,79.923077,0.44129,7.807692,22.346154,0.349398,16.923077,23.115385,0.732113,12.307692,29.269231,41.576923,20.846154,6.807692,4.846154,13.230769,18.5,95.269231,0.576923,0.538462,33,74,0.445946,8,22,0.363636,21,30,0.7,11,32,43,18,7,3,9,11,95,1,1,0
'Atlanta Hawks',38.25,84,0.455357,7.75,23.5,0.329787,11.75,16.25,0.723077,10.75,29.5,40.25,21.75,9,3.25,13.25,19.25,96,0.75,0.5,34,81,0.419753,9,25,0.36,12,16,0.75,7,29,36,20,4,5,13,16,89,1,0,'Los Angeles Clippers',38.666667,77,0.502165,6.833333,18.833333,0.362832,20.166667,26.333333,0.765823,8.666667,30.833333,39.5,23.833333,9.833333,7,17,24.833333,104.333333,0.666667,0.666667,41,77,0.532468,3,13,0.230769,18,25,0.72,10,34,44,20,9,3,13,22,103,0,1,1
'Sacramento Kings',35.333333,88.166667,0.400756,5.166667,17.666667,0.292453,15.833333,20.833333,0.76,12.833333,30.166667,43,16,9.666667,5.5,13.833333,25.5,91.666667,0.5,0.333333,32,91,0.351648,3,16,0.1875,19,26,0.730769,15,28,43,18,11,3,11,18,86,1,0,'Los Angeles Lakers',34.833333,76.333333,0.456332,6.666667,20,0.333333,21.5,31.833333,0.675393,14,32.833333,46.833333,20,8.166667,5.166667,17.833333,20.166667,97.833333,0.666667,0.333333,36,90,0.4,8,28,0.285714,21,28,0.75,16,42,58,22,9,6,16,14,101,1,1,1
'Charlotte Bobcats',34.092308,81.753846,0.417012,5.661538,16.769231,0.337615,18.953846,25.369231,0.747119,11.461538,28.892308,40.353846,18.984615,7.184615,5.984615,12.861538,19.323077,92.8,0.492308,0.215385,26,80,0.325,6,22,0.272727,20,29,0.689655,15,21,36,14,14,3,13,18,78,0,0,'Boston Celtics',36.8125,80.21875,0.458901,5.90625,16.875,0.35,16.390625,21.046875,0.778768,8.28125,31.71875,40,23.03125,8.4375,4.34375,13.875,21.34375,95.921875,0.5,0.546875,39,76,0.513158,6,15,0.4,28,35,0.8,6,34,40,29,11,7,14,19,112,1,1,1
'Atlanta Hawks',37.212121,81.545455,0.456336,8.969697,23.636364,0.379487,13.69697,19.272727,0.710692,9.909091,30.818182,40.727273,23.272727,8.666667,5,14.121212,17.454545,97.090909,0.515152,0.606061,38,77,0.493506,10,22,0.454545,17,21,0.809524,10,34,44,21,5,6,15,23,103,0,0,'Cleveland Cavaliers',35.194444,84.388889,0.417051,7.666667,21.555556,0.35567,16.388889,22.027778,0.74401,13.083333,28.722222,41.805556,19.388889,8.055556,3.444444,14.472222,22.222222,94.444444,0.416667,0.222222,33,78,0.423077,7,14,0.5,19,23,0.826087,11,20,31,19,8,5,16,24,92,0,0,1
'Los Angeles Lakers',37.22449,81.530612,0.456571,8.714286,24.632653,0.35377,18.959184,27.387755,0.69225,11.918367,33.142857,45.061224,22.265306,7.22449,5.44898,14.918367,18.55102,102.122449,0.510204,0.469388,37,82,0.45122,3,13,0.230769,15,18,0.833333,5,35,40,20,5,5,13,18,92,0,1,'Boston Celtics',36.770833,79.9375,0.459995,5.479167,16.4375,0.333333,16.541667,21.104167,0.78381,8.520833,31.041667,39.5625,23.145833,8.625,4.125,14.041667,21.416667,95.5625,0.541667,0.520833,35,73,0.479452,4,19,0.210526,25,30,0.833333,6,35,41,21,4,5,13,20,99,0,1,1
'Milwaukee Bucks',38.168831,87.428571,0.436572,7.077922,19.714286,0.359025,15.415584,20.844156,0.739564,12.935065,30.805195,43.74026,22.818182,8.350649,6.792208,13.662338,19.012987,98.831169,0.519481,0.480519,33,75,0.44,9,25,0.36,8,14,0.571429,5,32,37,19,13,2,19,15,83,0,0,'Orlando Magic',37.641026,84.115385,0.447493,6.269231,19.025641,0.329515,12.551282,16.384615,0.766041,10.730769,31.833333,42.564103,22.846154,6.461538,4.410256,13.897436,19.487179,94.102564,0.487179,0.24359,34,90,0.377778,1,13,0.076923,16,22,0.727273,19,34,53,21,9,7,14,17,85,0,0,1
'Minnesota Timberwolves',35.225,81.9,0.430098,5.35,18.4,0.290761,18.775,25.575,0.734115,13.525,30.875,44.4,21.8,7.725,5.275,14.65,17.7,94.575,0.45,0.425,39,88,0.443182,3,14,0.214286,20,33,0.606061,22,26,48,27,8,2,16,20,101,0,0,'Charlotte Bobcats',34.738095,82.02381,0.423512,5.714286,16.357143,0.349345,19.761905,26.428571,0.747748,11.666667,29.547619,41.214286,19.02381,7.404762,6.452381,13,19.619048,94.952381,0.547619,0.238095,31,76,0.407895,6,15,0.4,24,29,0.827586,11,30,41,18,11,8,18,15,92,1,0,1
'Denver Nuggets',38.866667,85.333333,0.455469,6,18.866667,0.318021,15.666667,23.533333,0.665722,15.466667,31.8,47.266667,21.6,7.4,6.933333,15.8,19.866667,99.4,0.333333,0.533333,40,73,0.547945,5,14,0.357143,18,32,0.5625,13,25,38,22,6,5,17,26,103,0,0,'Golden State Warriors',36.785714,82.571429,0.445502,6.214286,19.142857,0.324627,18.214286,24.428571,0.745614,12.071429,33.857143,45.928571,21.142857,6.642857,3.214286,15.928571,23.571429,98,0.428571,0.571429,33,78,0.423077,6,21,0.285714,24,29,0.827586,13,35,48,18,1,3,13,25,96,1,1,1
'Atlanta Hawks',37.6,80.857143,0.465018,8.885714,23.457143,0.378806,13.557143,19.114286,0.709268,9.185714,31.571429,40.757143,24.657143,8,4.757143,14.471429,18.042857,97.642857,0.5,0.557143,39,78,0.5,10,26,0.384615,16,21,0.761905,7,30,37,28,9,4,13,12,104,0,1,'Indiana Pacers',35.085714,80.942857,0.433463,6.985714,19.642857,0.355636,17.228571,22.971429,0.75,12.871429,33.414286,46.285714,20.471429,7.014286,6.642857,14.471429,20.142857,94.385714,0.514286,0.614286,30,78,0.384615,5,14,0.357143,19,24,0.791667,9,34,43,13,8,5,7,20,84,0,0,1
'Boston Celtics',36.714286,79.671429,0.460821,6.028571,16.957143,0.355518,16.514286,21.214286,0.778451,8.171429,31.514286,39.685714,22.914286,8.385714,4.557143,14.014286,21.342857,95.971429,0.5,0.514286,31,69,0.449275,6,20,0.3,17,22,0.772727,7,33,40,20,6,6,19,16,85,1,0,'Cleveland Cavaliers',36.449275,84.086957,0.433471,6.985507,19.898551,0.351056,17.304348,22.855072,0.757134,12.391304,28.188406,40.57971,20.507246,8.101449,3.855072,13.434783,21.26087,97.188406,0.492754,0.318841,31,86,0.360465,4,20,0.2,12,15,0.8,10,22,32,14,9,3,14,24,78,0,0,0
'Chicago Bulls',35.2,79.76,0.441324,4.36,12.56,0.347134,18.72,23.2,0.806897,12.2,31.6,43.8,22.52,7.16,5.2,14.96,19.08,93.48,0.56,0.6,37,83,0.445783,8,18,0.444444,28,33,0.848485,12,39,51,22,7,4,16,25,110,0,1,'Atlanta Hawks',36.708333,81.875,0.448346,8.5,23.291667,0.364937,14.25,20.416667,0.697959,10.5,30.333333,40.833333,22.375,9.125,4.791667,14.208333,17.583333,96.166667,0.541667,0.625,31,79,0.392405,9,25,0.36,9,12,0.75,13,24,37,20,7,3,17,15,80,0,0,1
'Boston Celtics',36.8,79.85,0.460864,5.425,16.1,0.336957,15.95,20.625,0.773333,8.5,30.375,38.875,23.025,8.85,4.05,13.775,21.5,94.975,0.525,0.5,33,83,0.39759,4,15,0.266667,18,25,0.72,11,31,42,22,13,4,18,33,88,0,0,'Cleveland Cavaliers',35.47619,84.690476,0.418892,7.5,21.380952,0.35078,16.595238,22.214286,0.747053,13.119048,28.357143,41.47619,19.357143,8.190476,3.52381,14.02381,21.952381,95.047619,0.380952,0.238095,34,83,0.409639,6,21,0.285714,24,30,0.8,12,28,40,20,3,6,9,18,98,0,0,1
'Milwaukee Bucks',39.461538,87.153846,0.45278,5.615385,18.615385,0.301653,13.846154,18.384615,0.753138,10.846154,30.615385,41.461538,23.769231,8.615385,7.076923,13.692308,20.230769,98.384615,0.538462,0.538462,33,72,0.458333,5,13,0.384615,17,21,0.809524,5,31,36,24,8,4,17,20,88,1,0,'Minnesota Timberwolves',33.571429,79.5,0.422282,5.214286,18.857143,0.276515,19.928571,27.071429,0.736148,13.357143,31.214286,44.571429,21,7.785714,6.785714,14.857143,19.428571,92.285714,0.428571,0.428571,31,82,0.378049,6,22,0.272727,27,35,0.771429,21,31,52,18,5,6,18,25,95,0,0,1
