@relation merge_avg_avg1-weka.filters.unsupervised.attribute.Remove-R1

@attribute R_FG {'Toronto Raptors','Brooklyn Nets','Charlotte Bobcats','Minnesota Timberwolves','Orlando Magic','Phoenix Suns','Los Angeles Lakers','Detroit Pistons','Atlanta Hawks','Milwaukee Bucks','Portland Trail Blazers','Boston Celtics','Sacramento Kings','Denver Nuggets','Chicago Bulls','Cleveland Cavaliers','New York Knicks','Oklahoma City Thunder','Miami Heat','Memphis Grizzlies','Indiana Pacers','Los Angeles Clippers','Washington Wizards','San Antonio Spurs','Golden State Warriors','Utah Jazz','Dallas Mavericks','New Orleans Hornets','Houston Rockets','Philadelphia 76ers'}
@attribute avg_R_FG numeric
@attribute avg_R_FGA numeric
@attribute avg_R_FGP numeric
@attribute avg_R_3P numeric
@attribute avg_R_3PA numeric
@attribute avg_R_3PP numeric
@attribute avg_R_FT numeric
@attribute avg_R_FTA numeric
@attribute avg_R_FTP numeric
@attribute avg_R_ORB numeric
@attribute avg_R_DRB numeric
@attribute avg_R_TRB numeric
@attribute avg_R_AST numeric
@attribute avg_R_STL numeric
@attribute avg_R_BLK numeric
@attribute avg_R_TOV numeric
@attribute avg_R_PF numeric
@attribute avg_R_PTS numeric
@attribute avg_R_HOME numeric
@attribute avg_R_WIN numeric
@attribute avg1_R_FG numeric
@attribute avg1_R_FGA numeric
@attribute avg1_R_FGP numeric
@attribute avg1_R_3P numeric
@attribute avg1_R_3PA numeric
@attribute avg1_R_3PP numeric
@attribute avg1_R_FT numeric
@attribute avg1_R_FTA numeric
@attribute avg1_R_FTP numeric
@attribute avg1_R_ORB numeric
@attribute avg1_R_DRB numeric
@attribute avg1_R_TRB numeric
@attribute avg1_R_AST numeric
@attribute avg1_R_STL numeric
@attribute avg1_R_BLK numeric
@attribute avg1_R_TOV numeric
@attribute avg1_R_PF numeric
@attribute avg1_R_PTS numeric
@attribute avg1_R_HOME numeric
@attribute avg1_R_WIN numeric
@attribute H_TEAM {'Sacramento Kings','Boston Celtics','Golden State Warriors','Washington Wizards','Minnesota Timberwolves','Los Angeles Clippers','Houston Rockets','Brooklyn Nets','Los Angeles Lakers','San Antonio Spurs','Orlando Magic','Miami Heat','Cleveland Cavaliers','New Orleans Hornets','Charlotte Bobcats','Indiana Pacers','Atlanta Hawks','Chicago Bulls','Philadelphia 76ers','Phoenix Suns','Milwaukee Bucks','Utah Jazz','Oklahoma City Thunder','Memphis Grizzlies','Toronto Raptors','New York Knicks','Portland Trail Blazers','Detroit Pistons','Denver Nuggets','Dallas Mavericks'}
@attribute avg_H_FG numeric
@attribute avg_H_FGA numeric
@attribute avg_H_FGP numeric
@attribute avg_H_3P numeric
@attribute avg_H_3PA numeric
@attribute avg_H_3PP numeric
@attribute avg_H_FT numeric
@attribute avg_H_FTA numeric
@attribute avg_H_FTP numeric
@attribute avg_H_ORB numeric
@attribute avg_H_DRB numeric
@attribute avg_H_TRB numeric
@attribute avg_H_AST numeric
@attribute avg_H_STL numeric
@attribute avg_H_BLK numeric
@attribute avg_H_TOV numeric
@attribute avg_H_PF numeric
@attribute avg_H_PTS numeric
@attribute avg_H_HOME numeric
@attribute avg_H_WIN numeric
@attribute avg1_H_FG numeric
@attribute avg1_H_FGA numeric
@attribute avg1_H_FGP numeric
@attribute avg1_H_3P numeric
@attribute avg1_H_3PA numeric
@attribute avg1_H_3PP numeric
@attribute avg1_H_FT numeric
@attribute avg1_H_FTA numeric
@attribute avg1_H_FTP numeric
@attribute avg1_H_ORB numeric
@attribute avg1_H_DRB numeric
@attribute avg1_H_TRB numeric
@attribute avg1_H_AST numeric
@attribute avg1_H_STL numeric
@attribute avg1_H_BLK numeric
@attribute avg1_H_TOV numeric
@attribute avg1_H_PF numeric
@attribute avg1_H_PTS numeric
@attribute avg1_H_HOME numeric
@attribute avg1_H_WIN numeric
@attribute RESULT {0,1}

@data
'Toronto Raptors',36.055556,84.111111,0.428666,7.277778,20.722222,0.351206,17.611111,22.833333,0.77129,10.944444,29.722222,40.666667,20.833333,7.277778,4.777778,13.111111,23.944444,97,0.388889,0.222222,42,86,0.488372,9,28,0.321429,17,19,0.894737,9,28,37,19,9,9,16,30,110,0,0,'Sacramento Kings',36.375,83.1875,0.437265,6.0625,17.6875,0.342756,14.75,19.875,0.742138,11.3125,28.4375,39.75,18.4375,8.3125,4.25,13.9375,23.125,93.5625,0.625,0.25,29,76,0.381579,9,23,0.391304,14,18,0.777778,10,30,40,23,2,3,17,19,81,0,0,1
'Brooklyn Nets',35.714286,79.623377,0.44854,7.597403,21.38961,0.355191,17.467532,23.831169,0.73297,12.792208,30.168831,42.961039,20.285714,7.12987,4.831169,13.896104,18.090909,96.493506,0.506494,0.584416,42,93,0.451613,5,20,0.25,15,23,0.652174,24,43,67,16,7,7,10,16,104,1,1,'Boston Celtics',36.857143,79.584416,0.46312,6.090909,17.116883,0.355842,16.480519,21.246753,0.775672,8.038961,31.441558,39.480519,22.883117,8.272727,4.623377,13.961039,21.311688,96.285714,0.506494,0.519481,43,77,0.558442,4,11,0.363636,17,21,0.809524,6,32,38,26,11,2,14,19,107,1,1,0
'Charlotte Bobcats',34.189655,81.637931,0.418796,5.741379,16.586207,0.346154,19.103448,25.551724,0.747638,11.413793,29.37931,40.793103,18.862069,7.155172,6.327586,13.103448,19.465517,93.224138,0.5,0.224138,28,81,0.345679,5,18,0.277778,7,12,0.583333,8,16,24,16,10,6,12,20,68,0,0,'Sacramento Kings',36.816667,83.466667,0.441094,6.883333,18.866667,0.364841,17.65,23.1,0.764069,11.783333,28.4,40.183333,20.216667,8.483333,4.233333,14.366667,21.016667,98.166667,0.45,0.333333,39,85,0.458824,7,21,0.333333,17,19,0.894737,5,23,28,20,14,2,19,18,102,0,0,1
'Minnesota Timberwolves',35.842105,81.513158,0.439709,5.381579,17.763158,0.302963,18.644737,25.342105,0.735722,12.144737,30.144737,42.289474,22.328947,8.381579,4.776316,14.315789,18.552632,95.710526,0.513158,0.381579,36,83,0.433735,6,14,0.428571,29,38,0.763158,15,23,38,23,16,6,14,20,107,1,1,'Golden State Warriors',37.948052,82.987013,0.457277,7.948052,19.805195,0.401311,16.974026,21.415584,0.792602,10.753247,33.896104,44.649351,22.506494,6.844156,4.194805,14.805195,21.402597,100.818182,0.493506,0.571429,35,74,0.472973,7,17,0.411765,13,18,0.722222,8,33,41,21,5,2,16,15,90,1,0,1
'Orlando Magic',37.035714,82,0.451655,5.821429,17.035714,0.341719,12.892857,16.357143,0.78821,10.321429,33.142857,43.464286,22.75,6.035714,4.571429,15,19.607143,92.785714,0.535714,0.428571,36,79,0.455696,11,30,0.366667,11,13,0.846154,11,27,38,25,5,5,13,17,94,1,0,'Washington Wizards',33.576923,83.038462,0.404354,6.423077,20.615385,0.311567,15,19.923077,0.752896,11.5,31.846154,43.346154,20.192308,7.653846,4.769231,14.807692,20.961538,88.576923,0.5,0.115385,35,76,0.460526,4,18,0.222222,10,14,0.714286,12,39,51,22,4,6,20,21,84,1,0,1
'Phoenix Suns',37.177215,84.113924,0.441986,5.78481,17.556962,0.329488,14.734177,19.797468,0.744246,11.683544,29.936709,41.620253,22.392405,7.974684,5.278481,14.873418,20.620253,94.873418,0.506329,0.303797,37,89,0.41573,12,27,0.444444,16,17,0.941176,12,36,48,25,7,11,10,17,102,0,1,'Minnesota Timberwolves',35.797468,81.683544,0.438246,5.443038,17.898734,0.304102,18.632911,25.177215,0.74007,12.037975,30.075949,42.113924,22.405063,8.417722,4.759494,14.139241,18.481013,95.670886,0.493671,0.367089,36,78,0.461538,8,22,0.363636,20,21,0.952381,9,22,31,21,10,3,10,18,100,0,0,1
'Los Angeles Lakers',37.197368,81.197368,0.458111,8.736842,24.513158,0.356414,18.986842,27.605263,0.687798,11.592105,33.223684,44.815789,22.118421,7.105263,5.157895,14.763158,18.052632,102.118421,0.486842,0.526316,34,74,0.459459,5,20,0.25,13,18,0.722222,8,35,43,22,5,2,18,17,86,1,1,'Los Angeles Clippers',38.434211,80.552632,0.477132,7.578947,21.276316,0.356215,16.565789,23.315789,0.710497,11.381579,29.855263,41.236842,23.644737,9.736842,5.644737,13.894737,21.039474,101.013158,0.5,0.657895,52,93,0.55914,9,21,0.428571,13,18,0.722222,13,24,37,39,14,5,6,23,126,1,1,1
'Detroit Pistons',34.5,81,0.425926,5.666667,15.833333,0.357895,18.333333,24.333333,0.753425,11.166667,25,36.166667,22.166667,6.166667,5.5,14.333333,18.666667,93,0.166667,0,36,87,0.413793,6,19,0.315789,16,22,0.727273,16,25,41,24,8,4,15,19,94,0,0,'Houston Rockets',34.6,85,0.407059,8,28.6,0.27972,17,21.6,0.787037,15,33.6,48.6,20.8,10.4,3.4,19.4,19.4,94.2,0.4,0.4,31,76,0.407895,9,27,0.333333,14,15,0.933333,8,33,41,17,5,6,20,17,85,0,0,1
'Atlanta Hawks',36.947368,81.184211,0.455105,8.657895,23.157895,0.373864,13.236842,18.842105,0.702514,9.868421,30.684211,40.552632,23.210526,8.447368,4.973684,14.157895,17.710526,95.789474,0.5,0.578947,45,78,0.576923,8,21,0.380952,11,17,0.647059,16,25,41,33,8,2,16,18,109,1,1,'Brooklyn Nets',35.410256,79.794872,0.443766,7.410256,21.641026,0.342417,18.435897,24.410256,0.755252,12.692308,29.153846,41.846154,20.205128,7.25641,4.769231,13.307692,18.564103,96.666667,0.564103,0.589744,37,87,0.425287,4,26,0.153846,17,17,1,18,19,37,17,9,2,13,19,95,0,0,1
'Orlando Magic',36.944444,83.611111,0.44186,5.277778,16.055556,0.32872,13.222222,17,0.777778,10.722222,32.611111,43.333333,22.222222,5.833333,4.833333,14.555556,20.444444,92.388889,0.5,0.388889,34,77,0.441558,1,15,0.066667,12,17,0.705882,13,33,46,15,6,7,19,20,81,0,0,'Sacramento Kings',36.470588,83.117647,0.438783,6.058824,17.529412,0.345638,15.352941,20.705882,0.741477,11.235294,28.941176,40.176471,18.411765,8.117647,4.411765,14,22.823529,94.352941,0.647059,0.294118,38,82,0.463415,6,15,0.4,25,34,0.735294,10,37,47,18,5,7,15,18,107,1,1,1
